
=============================================
STARTING Stage1
Episodes: 15000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
[Stage1] Ep 10300 | Avg Rew: 232.67 | Success: 0.55
[Stage1] Ep 10400 | Avg Rew: 244.00 | Success: 0.59
[Stage1] Ep 10500 | Avg Rew: 235.55 | Success: 0.64
[Stage1] Ep 10600 | Avg Rew: 239.65 | Success: 0.67
[Stage1] Ep 10700 | Avg Rew: 233.81 | Success: 0.70
[Stage1] Ep 10800 | Avg Rew: 226.54 | Success: 0.72
[Stage1] Ep 10900 | Avg Rew: 244.23 | Success: 0.71
[Stage1] Ep 11000 | Avg Rew: 241.30 | Success: 0.56
[Stage1] Ep 11100 | Avg Rew: 234.55 | Success: 0.80
[Stage1] Ep 11200 | Avg Rew: 232.65 | Success: 0.79
[Stage1] Ep 11300 | Avg Rew: 262.14 | Success: 0.76
[Stage1] Ep 11400 | Avg Rew: 255.10 | Success: 0.74
[Stage1] Ep 11500 | Avg Rew: 248.60 | Success: 0.67
[Stage1] Ep 11600 | Avg Rew: 240.54 | Success: 0.72
[Stage1] Ep 11700 | Avg Rew: 245.18 | Success: 0.75
[Stage1] Ep 11800 | Avg Rew: 266.47 | Success: 0.72
[Stage1] Ep 11900 | Avg Rew: 240.07 | Success: 0.78
[Stage1] Ep 12000 | Avg Rew: 270.32 | Success: 0.80
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/ckpt_Stage1_ep12000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/actor_Stage1_ep12000.pth
[Stage1] Ep 12100 | Avg Rew: 267.61 | Success: 0.81
[Stage1] Ep 12200 | Avg Rew: 266.16 | Success: 0.75
[Stage1] Ep 12300 | Avg Rew: 278.84 | Success: 0.80
[Stage1] Ep 12400 | Avg Rew: 268.82 | Success: 0.76
[Stage1] Ep 12500 | Avg Rew: 254.88 | Success: 0.76
[Stage1] Ep 12600 | Avg Rew: 262.85 | Success: 0.71
[Stage1] Ep 12700 | Avg Rew: 244.15 | Success: 0.53
[Stage1] Ep 12800 | Avg Rew: 244.66 | Success: 0.79
[Stage1] Ep 12900 | Avg Rew: 252.43 | Success: 0.70
[Stage1] Ep 13000 | Avg Rew: 256.45 | Success: 0.57
[Stage1] Ep 13100 | Avg Rew: 250.35 | Success: 0.67
[Stage1] Ep 13200 | Avg Rew: 285.33 | Success: 0.70
[Stage1] Ep 13300 | Avg Rew: 262.53 | Success: 0.77
[Stage1] Ep 13400 | Avg Rew: 273.34 | Success: 0.81
[Stage1] Ep 13500 | Avg Rew: 274.86 | Success: 0.75
[Stage1] Ep 13600 | Avg Rew: 267.67 | Success: 0.79
[Stage1] Ep 13700 | Avg Rew: 270.54 | Success: 0.85
[Stage1] Ep 13800 | Avg Rew: 268.24 | Success: 0.77
[Stage1] Ep 13900 | Avg Rew: 270.58 | Success: 0.79
[Stage1] Ep 14000 | Avg Rew: 282.67 | Success: 0.74
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/ckpt_Stage1_ep14000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/actor_Stage1_ep14000.pth
[Stage1] Ep 14100 | Avg Rew: 283.37 | Success: 0.74
[Stage1] Ep 14200 | Avg Rew: 260.37 | Success: 0.78
[Stage1] Ep 14300 | Avg Rew: 260.06 | Success: 0.78
[Stage1] Ep 14400 | Avg Rew: 273.45 | Success: 0.72
[Stage1] Ep 14500 | Avg Rew: 276.38 | Success: 0.74
[Stage1] Ep 14600 | Avg Rew: 279.41 | Success: 0.80
[Stage1] Ep 14700 | Avg Rew: 301.10 | Success: 0.73
[Stage1] Ep 14800 | Avg Rew: 300.99 | Success: 0.81
[Stage1] Ep 14900 | Avg Rew: 273.34 | Success: 0.80
[Stage1] Ep 15000 | Avg Rew: 286.99 | Success: 0.75
Finished Stage1. Saved model to /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/weights/model_Stage1_FINAL.pth
✅ Added Stage1 to previous stages pool (total: 1 stages)
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/weights/actor_Stage1_FINAL.pth

=============================================
STARTING Stage2
Episodes: 30000 | LR: 0.0001
Global Episode Offset: 30000
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
